Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Label
-0.840604,-0.638351,-0.6736,-0.904319,-0.812887,-0.717796,-0.810809,-0.695327,0.83761,-0.570531,-0.620583,-0.619783,-0.796235,-0.725618,-0.72936,-0.842599,-0.846762,0.797304,-0.485632,-0.477743,-0.427687,-0.533454,-0.138665,-0.004707,-0.195995,-0.133563,Actin
-0.832076,-0.656352,-0.909797,0.185891,1.25497,1.306981,0.802075,0.744401,-0.721534,-0.049524,0.12233,0.168548,0.408928,0.94767,0.768657,0.698773,0.654708,-0.630035,-0.111453,0.01132,0.026639,0.247501,0.670508,0.562313,0.638915,0.512077,Lysosome
-0.830486,-0.848185,-1.24152,-0.249706,0.483908,0.644339,0.077932,0.042562,-0.060366,-0.313933,-0.273285,-0.329627,0.190103,0.558467,0.600154,0.398984,0.218231,-0.283454,-0.330397,-0.309664,-0.288212,0.401707,0.996881,1.098735,1.009718,0.809129,Late_Endosomes
-0.829334,-0.665427,-0.597786,-0.729795,-0.44694,-0.123322,-0.037288,0.162173,0.294953,-0.74343,-0.903359,-1.081553,-1.252887,-1.417625,-1.557114,-1.677547,-1.746367,1.531536,-0.816561,-1.006772,-1.237355,-1.426692,-1.441293,-1.409734,-1.638268,-1.719594,Actin
-0.828689,-0.67681,-0.712695,-0.950283,-0.883197,-0.975976,-1.145314,-0.946384,1.02798,2.724089,1.537009,0.464893,-0.17719,-0.26274,-0.438109,-0.147513,-0.063442,-0.045074,2.974196,1.693277,0.515438,-0.183692,-0.241084,-0.498653,-0.348429,-0.321249,Mitochondria
-0.827866,-0.985576,-0.979609,-0.378834,0.24272,0.777111,-0.008333,-0.382672,0.069396,-0.378995,-0.37969,-0.254806,0.129028,0.406977,0.534479,0.273771,0.102349,-0.187886,-0.392612,-0.448064,-0.326578,0.168726,0.529117,0.737363,0.425362,0.292503,Late_Endosomes
-0.818572,-0.596791,-0.470894,-0.660699,-0.349204,0.128241,0.342687,0.364893,0.091531,-0.704148,-0.856172,-0.997728,-1.205849,-1.36515,-1.467252,-1.524099,-1.554766,1.416041,-0.780125,-0.944947,-1.112017,-1.325311,-1.258024,-1.103893,-1.245333,-1.265185,Actin
-0.812462,-1.054181,-0.395726,-0.322919,1.172872,1.182104,0.57155,0.895721,-0.612985,-0.383512,-0.443969,-0.335162,0.279904,0.678284,1.025945,0.45995,0.374023,-0.422256,-0.401241,-0.447817,-0.376309,0.440283,1.035489,1.557733,1.2127,0.965657,Late_Endosomes
-0.810533,-0.445635,-0.812489,-0.338652,0.587689,0.658065,0.339683,0.24611,-0.206949,-0.216025,-0.208367,-0.262453,0.378818,0.519908,0.48494,0.301381,0.234335,-0.279732,-0.154935,-0.19716,-0.257421,0.642488,0.904307,0.975161,0.605969,0.728501,Late_Endosomes
-0.808929,-0.846775,-0.809641,-0.703488,-0.484252,-0.497193,-0.945229,-1.352486,0.878251,-0.514299,-0.419893,-0.324887,-0.377768,-0.127304,-0.108918,-0.235844,-0.202647,0.244381,-0.584421,-0.512026,-0.459464,-0.584757,-0.298188,-0.43588,-0.782707,-0.798502,Mitochondria
-0.80281,-0.90795,-0.756535,-0.058809,0.55326,0.632912,-0.15942,0.092709,-0.104494,0.247848,0.321999,0.37252,0.346132,0.35846,0.31011,0.36916,0.523661,-0.402083,0.212657,0.256425,0.228105,0.185271,0.09684,0.00719,0.115796,0.20845,Lysosome
-0.800811,-0.900814,-0.905975,-1.170048,-1.28537,-1.282065,-1.278071,-1.216334,1.307868,-0.727435,-0.86869,-1.021602,-1.209074,-1.458332,-1.601753,-1.636499,-1.746605,1.525268,-0.790493,-0.974799,-1.201901,-1.445009,-1.742342,-1.850595,-2.013719,-2.189538,Microtubules
-0.799635,-0.969846,-0.873532,-0.962732,-0.781686,-0.708957,-0.912341,-1.175267,0.98714,-0.39596,-0.477092,-0.53079,-0.624805,-0.783945,-0.866946,-0.762465,-0.71898,0.740247,-0.414327,-0.532047,-0.618347,-0.721629,-0.887877,-0.892438,-1.021293,-1.059688,Mitochondria
-0.799592,-0.557719,-0.820568,-0.666068,-0.342778,-0.139348,-0.326036,-0.361876,0.439552,-0.209769,-0.201356,-0.202003,-0.142501,0.20644,0.256966,0.113123,0.251123,-0.106428,-0.216421,-0.266527,-0.322944,-0.29129,-0.036594,-0.213741,-0.439591,-0.363927,Mitochondria
-0.799282,-0.372561,-0.50745,-0.83611,-0.731664,-0.297346,0.175245,0.418001,0.291495,-0.648969,-0.743783,-0.779641,-0.853198,-0.857852,-0.628524,-0.66888,-0.79762,0.784124,-0.647536,-0.696369,-0.68689,-0.676194,-0.475057,-0.174995,-0.256736,-0.285208,Microtubules
